product_id,product_name,brand_name,price_usd,primary_category,secondary_category,tertiary_category,sephora_exclusive,product_rating,loves_count,author_id,review_rating,is_recommended,helpfulness,submission_time,review_text,review_title,skin_tone,eye_color,skin_type,hair_color,year,month,day_name
P42205,Strawberry Lip Balm,Rosebud Perfume Co.,8.0,Skincare,Lip Balms & Treatments,,0,4.559,55765,2813782168,3.0,,0.0,2012-03-14,"Its smooth, soft, smells good..",strawberry lip balm,fair,,,,2012,3,Wednesday
P392945,GENIUS Ultimate Anti-Aging Vitamin C+ Serum,Algenist,118.0,Skincare,Treatments,Face Serums,0,3.983,10068,6081580801,4.0,,0.0,2017-07-14,I received the 10 day trial and saw results with in 2 days. I am 21 years old and I have oily to combination skin. I have Pimple scars and my face has never looked brighter! My friends and family are asking me what I have been using and this is it! I am purchasing the full size now I plan on making this product a staple in my skin care routine.,Very impressed,,,,,2017,7,Friday
P504615,Mini Deep Cleanse Gentle Exfoliating Cleanser,Tatcha,18.0,Skincare,Mini Size,,1,4.148,5097,6839071421,5.0,1.0,,2021-02-01,"Love this product. I also use the camellia cleanser from Tatcha. I’ve tried out quite a few items from Tatcha, and they’ve all been great. You really can’t go wrong. What I like about this cleanser is the exfoliation comes from natural bits of fruit. I don’t have to double cleanse when I use this product and it’s gentle enough I can use everyday. I will say that I don’t love the design of the bottle. It’s hard to get the last bits of product out, but I understand why it was designed this way. The bits of fruit would probably get stuck if it was a pump etc.",Can’t go wrong with Tatcha,light,hazel,combination,auburn,2021,2,Monday
P481831,Tan Tonic Glow Drops,St. Tropez,42.0,Skincare,Self Tanners,,0,4.669,11386,24712028933,4.0,1.0,,2022-06-04,so good def recommend it left my body glowing and made me actually feel good in the sun the tan form it is a soild one and would totally use for everyday use outisde and would totally recommend to others,so good,lightMedium,brown,normal,black,2022,6,Saturday
P426501,Mini Crème de la Mer Moisturizer,La Mer,100.0,Skincare,Mini Size,,0,4.057,18102,5194208322,5.0,1.0,,2021-05-16,"I Absolutely Can’t say enough great things about this Cream de la mer !! It’s very Rich , Softens fine lines and Hydrates ...While leaving a Thick and Moisturized barrier on my skin !! Love it soo much ❤️ I was Gifted by La Mer these products",Hydrating!! Love it ☺️,fair,hazel,combination,brown,2021,5,Sunday
P375849,Facial Treatment Essence (Pitera Essence),SK-II,245.0,Skincare,Moisturizers,Mists & Essences,0,4.081,112101,23670707517,5.0,1.0,,2021-05-20,"This essence was amazing for my skin.  After just one use, my skin was visibly softer, smoother,  brighter, and more even. The results continued to magnify after each subsequent use.",Results after just one use,deep,brown,normal,black,2021,5,Thursday
P375849,Facial Treatment Essence (Pitera Essence),SK-II,245.0,Skincare,Moisturizers,Mists & Essences,0,4.081,112101,1378526219,5.0,,0.93,2017-04-19,"Had it not been for the point perk, I would have never tried this. Despite its popularity, I thought it was too expensive. At 34 years old I’m seeing my first signs of aging. After using this for almost two weeks I’m amazed at how much better my skin looks. Its brighter, smoother, and I’m less oily. I will only purchase during a Beauty insider sale... but I will definitely purchase again and again.",My new favorite Skincare Product,,,,,2017,4,Wednesday
P461555,Mini Superberry Hydrate + Glow Dream Mask,Youth To The People,18.0,Skincare,Mini Size,,0,4.324,79524,27092586869,5.0,1.0,0.75,2023-02-25,I dont want to love it but I’m kind of obsessed. I can’t tell if its breaking me out but its the best most hydrating moisturizer Ive ever used. I woke up with the most dewy hydrated calm soft non puffy skin ever. I normally hate fragrance in products because I’m sensitive but this is such a light berry smell. I just love the results and the experience.,Why is it so good I love it,fair,blue,combination,blonde,2023,2,Saturday
P504615,Mini Deep Cleanse Gentle Exfoliating Cleanser,Tatcha,18.0,Skincare,Mini Size,,1,4.148,5097,6434420739,5.0,1.0,1.0,2019-09-06,"Can’t say enough good things about this product. I never believed cleansers really did much until I found this one. I had taken before and after pictures (taken 2 weeks apart) you can tell how much just this cleanser improved my acne, the brightness of my skin, size of my pores AND the texture of my skin. Truly helped with everything. Have recommended this product to soooo many people!! a must have",completely CHANGED MY SKIN,medium,brown,oily,black,2019,9,Friday
P122882,Clarifying Lotion 2,CLINIQUE,20.0,Skincare,Cleansers,Toners,0,4.382,38875,1555750770,5.0,,,2010-09-27,"This toner makes all the difference! I suffer from rosacea and am prone to scars due to a very fair complexion, and this toner helps unclog my pores, leaving my skin gently exfoliated. I’ve also noticed that the scars are disappearing quicker than usual and are less noticeable.",Makes a difference,fair,,oily,,2010,9,Monday
P460747,Pink Cloud Rosewater + Squalane Makeup Removing Face Wash,Herbivore,26.0,Skincare,Cleansers,Face Wash & Cleansers,0,4.358,41051,6300806487,5.0,1.0,1.0,2021-07-14,"Love this formula, incredible feeling on the skin. I absolutely love the smell which was a surprise because it has a mushroom smell.",Holy Grail!,light,blue,dry,blonde,2021,7,Wednesday
P467647,Melting Cleansing Balm Cleanse + Balance,SEPHORA COLLECTION,12.0,Skincare,Cleansers,Face Wash & Cleansers,1,3.631,21017,6506358414,2.0,0.0,1.0,2021-11-15,"I’m quite disappointed by this product. My understanding of a balm is that it is a sold that, when you rub it, will melt into an oil, then become milky or slightly sudsy on the skin when water is added. This is just a very thick, gel-like cream. Yes, it cleanses, but it’s not what I was looking for. Will use it up, but not re-purchase.",Not A Balm,light,blue,normal,blonde,2021,11,Monday
P376726,Maracuja Oil,tarte,48.0,Skincare,Moisturizers,Face Oils,0,4.396,79986,1895445475,3.0,,,2014-09-29,I use Josie Maran’s Argan Oil and was expecting something similar. It is a light oil and did not irritate my sensitive skin. but it also did not offer any special benefit.,Nice but nothing special,,,,,2014,9,Monday
P428819,Watermelon Pink Juice Oil-Free Moisturizer,Glow Recipe,39.0,Skincare,Moisturizers,Moisturizers,1,4.0,162336,5487401514,3.0,0.0,1.0,2021-06-28,"I love the smell of this, it kind of smells like pink starbursts and it’s very lightweight which is what I love about it, however, it dries very tacky on my face and if I sleep with it on, I wake up with my face feeling oily which doesn’t happen usually for me with other oil-free moisturizers. I really wanted to love this but it just didn’t work for my skin",,lightMedium,green,normal,black,2021,6,Monday
P377561,FIRMx Exfoliating Peel Gel,Peter Thomas Roth,49.0,Skincare,Treatments,Facial Peels,0,4.539,56547,5685189535,5.0,,1.0,2014-12-23,"Received this product as the 500 point bonus gift. I was so amazed with it, I made my husband try it. Miraculously, my husband encouraged me to BUY it so that we could share it!! (This is a man whose skin care regimen includes bar soap...)",Incredible,,,,,2014,12,Tuesday
P483643,Willow & Sweet Agave Plumping Lip Mask,alpyn beauty,28.0,Skincare,Lip Balms & Treatments,,0,4.541,12568,1313318952,5.0,1.0,1.0,2022-07-28,"I love this lip mask! I wear a thin layer during the day and a thicker layer at night. It’s smoothing, hydrating and leaves a healthy pinky glowy glossy lip. I love the consistency-- it’s thin without feeling sticky!Like some of the other reviewers, I do wish it came with a metal applicator to keep it sanitary and add that extra touch of luxury.I also am sensitive to smells and I love that Alpyn kept the scent all natural without adding anything more. It’s beautiful!",Beautiful Formulation,lightMedium,brown,combination,brown,2022,7,Thursday
P394639,The True Cream Aqua Bomb,belif,38.0,Skincare,Moisturizers,Moisturizers,0,4.484,265050,7360632162,4.0,,0.77,2015-11-15,"I got a small sample of this product and figured that I would use it in lieu of my moisturizer one night. I probably should have saved it though. I live in a very humid environment, so for me this would have been better used as an intensive moisture treatment when I travel to drier climates in the winter. It’s very hydrating! It’s best use would probably be as a day cream during drier winter days or a night cream. Other than that, it’s a bit too thick for everyday wear. It left my skin very soft, but my t-zone super shiny. The product description says that it’s for normal to combination skin, but I feel like it would be much more appreciated by those who suffer from dry skin.It’s a great product, just not suited for my needs.",super hydrating moisturizer,,,combination,,2015,11,Sunday
P422510,Mini Ultra Facial Moisturizing Cream with Squalane,Kiehl's Since 1851,24.0,Skincare,Mini Size,,0,4.447,31687,24117680104,1.0,0.0,1.0,2019-11-25,"Another product that’s not for me. I don’t know what it is with these skincare products that’s hyped on here. I always have some type of reaction. I got this as a sample from my last order. I decided to try it. it didn’t feel right going on. After about a hour, my face just started burning. I had to wash it off right away. Not good for people with sensitive skin.",,tan,brown,combination,black,2019,11,Monday
P378852,GinZing Ultra-Hydrating Energy-Boosting Cream,Origins,36.0,Skincare,Moisturizers,Moisturizers,0,4.401,87846,7756184134,5.0,,,2017-08-01,"This moisturizer is a miracle in a bottle for my skin. Lately my skin has been super dull and tired looking. A few days after I started using this that changed dramatically. I can’t even tell you how amazing this smells. It hydrates with no breakouts! This is a must have for me!I received this product as a free sample through Influenster in exchange for my honest opinion...and IT ROCKSS.",My Fav!,,,combination,,2017,8,Tuesday
P428819,Watermelon Pink Juice Oil-Free Moisturizer,Glow Recipe,39.0,Skincare,Moisturizers,Moisturizers,1,4.0,162336,7038248322,5.0,1.0,1.0,2020-01-08,I was very skeptical to try this line of products due to all the overhype on social media sites but OMG I wish I would have tried this so much earlier. it’s so lightweight yet moisturizing. my skin looks better than it ever has I have found my new holy grail skincare line,perfect for oily/combo skin,lightMedium,hazel,oily,blonde,2020,1,Wednesday
P455929,Cleansing Serum,Shani Darden Skin Care,38.0,Skincare,Cleansers,Face Wash & Cleansers,1,4.594,9931,2712171218,5.0,1.0,1.0,2020-04-21,"I received a sample of this product and gave it a go. I was blown away by how fresh and clean my face felt without feeling dry. I also noticed my fine lines on my forehead to be less pronounced after using. The hylauronic acid in this product legit works! It’s light and doesn’t irritate skin after using a retinol cream at night. Love it. And it costs about the same as my Fresh Soy Cleanser for the same volume of product, so all in all pretty great value!",Soft clean skin without irritation.,light,blue,combination,blonde,2020,4,Tuesday
P434548,Honeymoon Glow AHA Resurfacing Night Serum,Farmacy,60.0,Skincare,Moisturizers,Night Creams,1,4.315,177152,7861850486,5.0,1.0,0.8,2020-10-20,"This product definitely does tingle when you apply it on your skin, but it’s not in any uncomfortable feeling. I have noticed a difference of my pores shrinking, which that is the goal since I have VERY LARGE PORES!",PORE MIRACLE WORKER,light,green,oily,blonde,2020,10,Tuesday
P504240,Mini Instant Reset Brightening Overnight Recovery Gel-Cream With Niacinamide + Kalahari Melon Oil,Fenty Skin,26.0,Skincare,Moisturizers,Moisturizers,1,4.199,4881,2213487302,4.0,1.0,0.2,2021-01-16,"I have been waiting a while to try this product along with the other Fenty skin things. I was so excited when it arrived.  The packaging is cute, I like the idea of having reusable containers. I also like how there is a spatula to scoop up the cream. The smell is soft but it definitely is there I personally like it but I could see if people are sensitive to that kind of thing where it could be not that great. It almost has like a tropical kind of vibe to it. My skin has definitely been liking this and the other products. Are used only this line for about five days and my skin definitely does feel very soft and refined. I did change it my night time where I still use the screen but also some Ole stuff. Mostly because I didn’t want already opened product to go to waste.",Loving It,tan,brown,combination,black,2021,1,Saturday
P217513,Black Tea Instant Perfecting Mask,fresh,96.0,Skincare,Masks,Face Masks,0,4.292,65834,1930716686,5.0,1.0,0.67,2019-10-14,"I really liked it.  Provides hydration for dry skin.  I got a sample, but I probably won’t purchase, given the price.  But if you got the $$$, give it a try.",Lovely,light,brown,dry,brown,2019,10,Monday
P411540,Cicapair Tiger Grass Color Correcting Treatment SPF 30,Dr. Jart+,52.0,Skincare,Moisturizers,BB & CC Creams,1,3.99,210786,11119914913,5.0,1.0,,2018-12-13,"This stuff is miracle status for a fair skinned girl like myself. This stuff is just a miracle period. I got a sample from Sephora and I was actually amazed the first time I applied it. It is soothing, hydrating, and INSTANTLY evens out skin tone, redness disappearing. Plus, a powerful SPF?! The consistency of it is a light cream and it doesn’t interfere with makeup application. My skin is combination, oily, and acne prone. Many products are too greasy and this one is not, nor did I see any breakouts. I had tried the Camo Drops prior to the Correcting Treatment and it made my skin look gorgeous, but made me breakout pretty badly, but the CCT is a safe bet. That green jar will last a long time so don’t hesitate to purchase.","Don’t Hesitate, Purchase",fair,blue,combination,blonde,2018,12,Thursday
P441101,The Dewy Skin Cream Plumping & Hydrating Moisturizer,Tatcha,70.0,Skincare,Moisturizers,Moisturizers,1,4.102,388775,1311684326,2.0,0.0,0.5,2019-04-04,"I received this as a sample and I have to say it is THE BEST moisturizer I have ever used! I love it so much I was willing to pay the expensive price for it. The reason for the low rating is bcuz I read the recent reviews and I’m noticing that Sephora must be sending out bad batches of this stuff. The bad thing about leaving these reviews is that noone from Sephora cares to read them, therefore you know the problem will never get fixed. Bad business on their part and bad business for Tatcha.",Great... but beware.,light,brown,oily,black,2019,4,Thursday
P455927,Mini Retinol Reform,Shani Darden Skin Care,30.0,Skincare,Mini Size,,1,4.257,12100,1583001335,5.0,1.0,,2020-03-15,Perfect serum that I use every night. A little goes long way. Love it!,,,,,,2020,3,Sunday
P501157,Vitamin C Lactic Firm & Bright Eye Treatment,Dr. Dennis Gross Skincare,68.0,Skincare,Eye Care,Eye Creams & Treatments,0,4.746,12157,23289025888,5.0,1.0,0.67,2022-08-02,I am already a fan of this brand but new to this product.And as a tired mama I am always looking for something tohelp with my dark circles and wrinkles! And after using this for 14 days I must say I am impressed with the results so far. I definitely can see a difference! My dark circles looks lighter and over all my skin looks brighter! Which makes for one happy mama!,,lightMedium,blue,combination,blonde,2022,8,Tuesday
P432668,D-Bronzi Anti-Pollution Bronzing Drops with Peptides,Drunk Elephant,38.0,Skincare,Treatments,Face Serums,0,4.433,328059,6368324390,5.0,1.0,0.83,2018-12-13,blew my mind! not only does your skin glow it looks nourished and even you barely need to wear any makeup and it just instantly brightens your face without a vacation,,light,brown,combination,brown,2018,12,Thursday
P500633,Tea Elixir Niacinamide & Hyaluronic Acid Anti-Aging Serum,fresh,80.0,Skincare,Treatments,Face Serums,0,4.772,21533,2206449915,4.0,0.0,,2022-08-09,"I received this complimentary from Fresh in exchange for a review; these are my honest opinions.PROS:- great texture -- it has some body but absorbs easily w/o leaving any tacky residue behind- hydrating & soothing formula- my sensitive nose appreciates how subtle the scent is- stunning packaging!CONS:- the price is definitely very steep; if this is within your budget, I think you’ll enjoy the formula, but the price prevents me from recommending this more widely","nice hydrating serum, but very pricey",light,brown,oily,black,2022,8,Tuesday
P232915,ExfoliKate Intensive Pore Exfoliating Treatment,Kate Somerville,98.0,Skincare,Cleansers,Exfoliators,0,4.438,75332,2195753096,5.0,,,2012-01-05,I hate the smell. smells like those bad christmas tree candles but its only on your face for two mins so i can deal especially since it makes my skin look and feel amazing,nice,light,,combination,,2012,1,Thursday
P400203,Lapis Blue Tansy Face Oil - For Oily & Acne-Prone Skin,Herbivore,74.0,Skincare,Moisturizers,Face Oils,1,4.246,68960,6868007722,3.0,1.0,0.57,2020-11-04,"If you have combo skin leaning oily this will work great for you! If you have combo skin leaning dry then this will not be hydrating enough over the winter. It’s certainly not a bad product, but I am going to exchange it.",OK but not as hydrating as I want.,light,blue,normal,auburn,2020,11,Wednesday
P482260,Rice Drops Face Oil Hydrating Serum,DAMDAM,68.0,Skincare,Moisturizers,Face Oils,1,4.855,2203,25840494474,4.0,1.0,0.5,2022-03-04,"I use this project at night with my gua sha and i love it. it helps massage in the product and hydrate my face. I let is sit as a mask overnight and the next day my skin felt a little oily,  but more hydrated",,fair,blue,combination,blonde,2022,3,Friday
P302103,Sugar Advanced Lip Balm Intense Hydration Treatment,fresh,28.0,Skincare,Lip Balms & Treatments,,0,4.284,125611,1066741878,4.0,,,2017-01-25,I can’t even wear other chapsticks anymore... they feel too waxy now and leave a residue. This stuff is amazing... I actually kind of wish it wasn’t so great because it’s obviously way more expensive than regular chapstick./,Amazing,,,,,2017,1,Wednesday
P445951,Midnight Recovery Concentrate Moisturizing Face Oil,Kiehl's Since 1851,30.0,Skincare,Mini Size,,0,4.217,29687,21200629176,5.0,1.0,,2018-11-13,"If you love your skin, you’ll get this product. Light weight, not greasy, doesn’t make you break out, only enhances your skin and leaves it dewy, glowy, and soft. Helps reduce redness and heal breakouts really well. Not enough moisture on its own, definitely needs something on top of it. Smells like a special lavender blend not just lavender but it’s really present.",Smells incredible and leaves skin feeling it,light,blue,combination,blonde,2018,11,Tuesday
P439058,Violet-C Brightening Serum 20% Vitamin C + 10% AHA,Tatcha,89.0,Skincare,Treatments,Face Serums,1,4.212,129875,1696370280,4.0,0.0,1.0,2021-12-06,"This is a good serum, a bit on the watery side, absorbs into skin easily.",,light,brown,combination,black,2021,12,Monday
P297524,Clear Improvement Active Charcoal Mask to Clear Pores,Origins,17.0,Skincare,Masks,Face Masks,0,4.329,194892,1968055996,5.0,,0.83,2015-05-07,"If I could give this more than 5 stars, I would. I have very large heriditary pores and have spent a small fortune on products claiming to help. I could feel this gently pulling my skin. This washes off easily and is always a surprise as to how wonderful my skin looks. Love it!!",Best I've Ever Used,,,,,2015,5,Thursday
P12045,Grape Water Moisturizing Face Mist,Caudalie,12.0,Skincare,Moisturizers,Mists & Essences,0,4.443,140024,7283881273,5.0,,,2016-06-14,Love Love Love！ I dont think it has a bad smellor It has a low cost performanceˊ_>ˋ.... I do love the design of nozzle～I feel so amazing,My best spray！,,,,,2016,6,Tuesday
P473160,Mini The Essence  Skincare Boosting Treatment,Tatcha,65.0,Skincare,Moisturizers,Mists & Essences,1,4.444,13964,22992167940,3.0,1.0,,2021-08-20,"I got this  complimentary from @Influenster for testing purposes.  I love the glass bottle it comes in, and Tatcha packaging is always really nice and luxurious feeling. I have noticed a difference in skin texture after a few days of use. My only problem is that the applicator should have a pump or a spray lid instead of it being open, too much product comes out.",Great but needs packaging improvements,lightMedium,green,dry,auburn,2021,8,Friday
P500633,Tea Elixir Niacinamide & Hyaluronic Acid Anti-Aging Serum,fresh,80.0,Skincare,Treatments,Face Serums,0,4.772,21533,7555010984,4.0,1.0,,2022-07-28,Oh my god I’m obsessed! I’m so glad I was gifted by Fresh to try out this new product. I’ve been using this serum on my face morning and night and it’s really making a difference in my skin. I feel so much more hydrated.,,fairLight,blue,dry,blonde,2022,7,Thursday
P427412,Alpha Arbutin 2% + HA Hyperpigmentation Serum,The Ordinary,11.1,Skincare,Treatments,Face Serums,0,4.041,190345,5343091011,4.0,1.0,1.0,2020-05-07,"This is the perfect TO product to mix with the TO L-Ascorbic Acid powder. I’ve been using them together for 4 weeks, & it’s made a huge difference in my skin’s brightness & has decreased the appearance of my dark spots! Holy grail item for sure.",HOLY GRAIL,mediumTan,brown,combination,brown,2020,5,Thursday
P464241,5% Benzoyl Peroxide Acne Spot Treatment,Dr. Zenovia Skincare,25.0,Skincare,Treatments,Face Serums,1,4.402,7160,1384463471,5.0,1.0,,2021-12-12,The Dr. Zenovia Skincare 5% benzoyl peroxide acne treatment really works. It really helped control the ance around my chin. Together with the soothing moisturizer and the cleanser it really changed my skin. I always get some acne around my chin periodically and this system really helped control it. The whole system is very gentle. Give it a chance to work at least three months.,Acne spot treatment,fair,green,combination,brown,2021,12,Sunday
P453816,Mini Take The Day Off Cleansing Balm Makeup Remover,CLINIQUE,14.0,Skincare,Mini Size,,0,4.529,37388,1040369429,5.0,1.0,,2018-07-17,"I really like Clinique’s Take the Day Off Cleansing Balm!  The texture is perfect - It isn’t super thick or greasy like cocoa butter as some other cleansing balms are - instead it is lightweight, yet still buttery and easy to apply.  It does exactly what it promises and removes all my makeup - It also leaves my skin feeling slightly moisturized, which is a nice bonus!",Squeaky Clean,light,green,combination,blonde,2018,7,Tuesday
P393718,Luna Sleeping Retinoid Night Oil,Sunday Riley,105.0,Skincare,Moisturizers,Face Oils,0,4.083,174483,1496343381,5.0,,1.0,2016-06-16,"I have tried many, many products to improve the appearance of my pores and add elasticity and firmness to my skin - nearly every item in Sephora and many from elsewhere and not one did in a week of use that this one did in two days. I have huge pores - huge! Some days it looks like the skin around my nose and my nose itself are covered in acne scars - nope, that’s my giant pores. Thanks dad for giving me your big Italian schnaz and these oh so lovely pores! The morning after",Amazing!,,,,,2016,6,Thursday
P122900,Dramatically Different Moisturizing Gel,CLINIQUE,32.5,Skincare,Moisturizers,Moisturizers,0,4.438,95864,2517346747,5.0,,,2012-05-18,"I have a dry/oily combination skin, and this gel works wonders. My acne has cleared with the use of this gel, and my other gals who either have oily or incredibly dry sensitive skin have reported that this has really helped. Adefinate buy:)",The Best moisturizer Ever!,,,combination,,2012,5,Friday
P469520,RESIST Perfectly Balanced Foaming Cleanser,Paula's Choice,22.0,Skincare,Cleansers,Face Wash & Cleansers,0,4.73,27344,7217341764,5.0,1.0,,2022-11-28,"i’ve always been a huge fan of foaming cleansers so i knew i had to try this one out—especially after reading the ingredients. i love that it has aloe vera and hyaluronic acid among other things. anyway, this cleanser leaves my skin feeling clean without drying it out. it’s gentle and doesn’t irritate my sensitive skin.",,light,brown,combination,black,2022,11,Monday
P481084,Mini Revitalizing Supreme+ Youth Power Creme Moisturizer,Estée Lauder,64.0,Skincare,Moisturizers,Moisturizers,0,4.32,1449,34687269402,3.0,0.0,,2021-12-30,"I received this sample from infuenster. I used this moisturizer for 4 days. I did wish it had spf in it. It says use Day and Night on bottle/box. It was okay. Made my face ached per day for some weird reason. I took a picture of my face before and after. If I had not taken the pictures I would have not seen a difference. It was just a bit of difference on my face. Some dark spots faded and some smoothness but my face is well taken vare of. It goes on a bit light not thick. The smell is perfume like. Which I did not care for too much. It works okay, but I have only used it for a few days. I like my other moisturizers better.","40yrs, 4 days I used this...",light,brown,combination,brown,2021,12,Thursday
P427410,Vitamin C Suspension 23% + HA Spheres 2%,The Ordinary,7.8,Skincare,Treatments,Face Serums,0,3.445,132601,5645617350,5.0,1.0,1.0,2020-05-30,Amazing results in a short amount of time. I have very acne prone skin and has not made me break out. I use a small quantity every other night. The wrinkles on my forehead have started to fade. My face is brighter overall. Yes it’s gritty but that doesn’t bother me. Yes it’s oily but I use a small amount. Definitely worth it.,Great and fast results.,medium,brown,oily,brown,2020,5,Saturday
P386739,Restorative Plumping + Brightening Eye Cream,Tata Harper,130.0,Skincare,Eye Care,Eye Creams & Treatments,0,4.11,12946,6711675538,5.0,1.0,1.0,2019-09-12,It is a light weight but strong cream. As soon as I started to use it  people started to compliment my sling and even a friend ask me what I was doing different around my eyes they look good. Never have had that question before so it’s doing something.,Light weight  and awesome,fair,blue,combination,blonde,2019,9,Thursday
P459130,Hyaluronic Serum,Dr. Lara Devgan Scientific Beauty,245.0,Skincare,Treatments,Face Serums,1,4.785,2777,26704471025,5.0,1.0,,2020-05-20,A great all around serum that leaves your skin feeling refreshed and so plump and smooth! Highly recommend if you are trying to even out your skin texture.,,lightMedium,brown,combination,brown,2020,5,Wednesday
P408230,V-Facial Instant Depuffing Face Mask,Clarins,67.0,Skincare,Masks,Face Masks,0,4.755,26393,21039047445,4.0,1.0,,2022-05-16,"It has a beautiful cream-mousse texture, it feels nice and comfortable to the touch, so easy to apply and spread and it gives me a visible brighter and smoother complexion, not noticing improvement in the puffiness yet.It is recommended to apply it ONLY over the lower part of the face and neck, not the eyes area and by performing Clarins’ exclusive Manual Auto-Lifting Method, which I needed to get used to and might be confusing at the beginning for some people.  It also requires a little bit more of  time, which it is difficult to have during the mornings, that it is when the puffiness is more visible and when I am busy, but it should be used 1-2 per week, so I am trying to find some time to do it, if not I do it through the day. After applying and basically exercising for 10 minutes, it needs to be rinsed off with cool water.It is a good product, but think the application method would be easier to understand with a video.",,lightMedium,brown,dry,brown,2022,5,Monday
